doi,title,journal,year,source_json,dataset_number,method,phase,standard_state,solute_name,solvent_name,solute_inchi,solvent_inchi,solute_smiles,solvent_smiles,temperature,gamma_inf,ln_gamma_inf,idac_basis,solute_org_num,solvent_can,solute_can,pair,net_new
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,16.0,Chromatography,Liquid,Pure compound,1-octyne,diethylene glycol,"InChI=1S/C8H14/c1-3-5-7-8-6-4-2/h1H,4-8H2,2H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",C#CCCCCCC,OCCOCCO,348.2,29.72,3.391820219849558,declared in the record,,OCCOCCO,C#CCCCCCC,"('C#CCCCCCC', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,16.0,Chromatography,Liquid,Pure compound,1-octyne,diethylene glycol,"InChI=1S/C8H14/c1-3-5-7-8-6-4-2/h1H,4-8H2,2H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",C#CCCCCCC,OCCOCCO,363.2,27.04,3.2973172511747633,declared in the record,,OCCOCCO,C#CCCCCCC,"('C#CCCCCCC', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,19.0,Chromatography,Liquid,Pure compound,cycloheptane,diethylene glycol,InChI=1S/C7H14/c1-2-4-6-7-5-3-1/h1-7H2,"InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",C1CCCCCC1,OCCOCCO,333.2,52.38,3.958524839079566,declared in the record,,OCCOCCO,C1CCCCCC1,"('C1CCCCCC1', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,19.0,Chromatography,Liquid,Pure compound,cycloheptane,diethylene glycol,InChI=1S/C7H14/c1-2-4-6-7-5-3-1/h1-7H2,"InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",C1CCCCCC1,OCCOCCO,348.2,47.41,3.8588331769140267,declared in the record,,OCCOCCO,C1CCCCCC1,"('C1CCCCCC1', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,19.0,Chromatography,Liquid,Pure compound,cycloheptane,diethylene glycol,InChI=1S/C7H14/c1-2-4-6-7-5-3-1/h1-7H2,"InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",C1CCCCCC1,OCCOCCO,363.2,42.11,3.740285242173836,declared in the record,,OCCOCCO,C1CCCCCC1,"('C1CCCCCC1', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,20.0,Chromatography,Liquid,Pure compound,cyclooctane,diethylene glycol,InChI=1S/C8H16/c1-2-4-6-8-7-5-3-1/h1-8H2,"InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",C1CCCCCCC1,OCCOCCO,333.2,70.67,4.258021154702763,declared in the record,,OCCOCCO,C1CCCCCCC1,"('C1CCCCCCC1', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,20.0,Chromatography,Liquid,Pure compound,cyclooctane,diethylene glycol,InChI=1S/C8H16/c1-2-4-6-8-7-5-3-1/h1-8H2,"InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",C1CCCCCCC1,OCCOCCO,348.2,61.34,4.116432158686106,declared in the record,,OCCOCCO,C1CCCCCCC1,"('C1CCCCCCC1', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,20.0,Chromatography,Liquid,Pure compound,cyclooctane,diethylene glycol,InChI=1S/C8H16/c1-2-4-6-8-7-5-3-1/h1-8H2,"InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",C1CCCCCCC1,OCCOCCO,363.2,52.21,3.955274047422461,declared in the record,,OCCOCCO,C1CCCCCCC1,"('C1CCCCCCC1', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,21.0,Chromatography,Liquid,Pure compound,methanol,diethylene glycol,"InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",CO,OCCOCCO,333.2,0.988,-0.012072581234269249,declared in the record,,OCCOCCO,CO,"('CO', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,21.0,Chromatography,Liquid,Pure compound,methanol,diethylene glycol,"InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",CO,OCCOCCO,348.2,1.01,0.009950330853168092,declared in the record,,OCCOCCO,CO,"('CO', 'OCCOCCO')",True
