subset,quantity,rung,severity,n_rows,n_clusters,mae_learned,mae_oracle,penalty,penalty_lo,penalty_hi,effect,effect_lo,effect_hi,frac_rows_moved_learned,frac_rows_moved_oracle,mean_abs_ln_gamma2_learned,mean_abs_ln_gamma2_oracle,delta_w_shift_rms
substituted,ln_x2_final,R0,,5571,64,1.9214656852862375,6.2412423028353325,4.3197766175490955,3.6224523382091194,5.231956700267647,0.0,0.0,0.0,0.0,0.0,1.229392409324646,21.636363983154297,0.0
substituted,ln_x2_final,R0_iter30,,5571,64,2.6159759446030066,9.04577828478751,6.429802340184504,5.382897390587291,7.640474578440329,2.1100257226354078,1.5618994565654594,2.6838349937993238,0.980793394363669,0.7822653024591635,1.1335262060165405,28.270776748657227,0.0
substituted,ln_x2_final,ALPHA_0.5,1.0,5571,64,1.9928861535910678,6.558656036734515,4.565769883143446,3.9147345776994875,5.385265415419344,0.24599326559435056,0.06790862425688698,0.3594491039508257,0.980793394363669,0.7517501346257405,1.4353299140930176,22.47278594970703,2.7633321285247803
substituted,ln_x2_final,ALPHA_2.0,2.0,5571,64,1.9992857636236798,5.824998407365785,3.825712643742105,3.069894330899682,4.799999010041241,-0.49406397380699063,-0.6297704445171994,-0.3135646777454996,0.980793394363669,0.7942918686052773,1.1158372163772583,20.277175903320312,5.5266642570495605
substituted,ln_x2_final,SIGHB_0.5,3.0,5571,64,2.272712529455149,7.874926569814365,5.602214040359216,5.136635523468222,6.035707800490757,1.2824374228101205,0.3396276785323901,2.035419675848204,0.980793394363669,0.8052414288278585,1.4494646787643433,27.334436416625977,3.9332895278930664
substituted,ln_x2_final,ITER_2,4.0,5571,64,2.188873388051865,4.96835683975613,2.7794834517042655,2.2441952330721375,3.2183791868616187,-1.54029316584483,-2.555253027323147,-0.7951290634453698,0.980793394363669,0.9513552324537785,1.031205177307129,8.514643669128418,0.0
substituted,ln_x2_final,SIGHB_2.0,5.0,5571,64,2.3846073301391577,8.18876793209327,5.804160601954113,4.987308602080902,6.689272088846811,1.4843839844050168,0.9484778666953406,1.9850064397191598,0.980793394363669,0.7684437264404954,0.6562768220901489,20.75383949279785,3.556457042694092
substituted,ln_x2_final,NO_SG,5.0,5571,64,1.9214656852862375,6.2412423028353325,4.3197766175490955,3.6224523382091194,5.231956700267647,0.0,0.0,0.0,0.0,0.0,1.229392409324646,21.636363983154297,0.0
substituted,ln_x2_final,CHB_0,6.0,5571,64,2.33419735970974,8.750806338037702,6.416608978327961,4.896967972493444,7.599103375292771,2.0968323607788664,0.9171057605363123,3.0112613680868225,0.980793394363669,0.8018309100700054,0.4987605810165405,14.381105422973633,3.9519808292388916
substituted,ln_x2_final,ITER_1,7.0,5571,64,2.2913158068310904,3.4446563388464537,1.1533405320153636,0.9045381065547194,1.4054563633549104,-3.1664360855337317,-4.122526254904139,-2.3504113820137125,0.980793394363669,0.980793394363669,1.3914653062820435,2.6928889751434326,0.0
substituted,ln_x2_final,ALPHA_0,8.0,5571,64,2.1652297585055,7.030906116554943,4.865676358049444,4.250886160967781,5.576038599121897,0.5458997405003483,0.15121916928756785,0.8035502535990028,0.9806138933764136,0.773290253096392,1.754671573638916,23.489465713500977,5.5266642570495605
substituted,ln_x2_physics,R0,,5571,64,1.9214656852862375,6.2412423028353325,4.3197766175490955,3.6224523382091194,5.231956700267647,0.0,0.0,0.0,0.0,0.0,1.229392409324646,21.636363983154297,0.0
substituted,ln_x2_physics,R0_iter30,,5571,64,2.6159759446030066,9.04577828478751,6.429802340184504,5.382897390587291,7.640474578440329,2.1100257226354078,1.5618994565654594,2.6838349937993238,0.980793394363669,0.7822653024591635,1.1335262060165405,28.270776748657227,0.0
substituted,ln_x2_physics,ALPHA_0.5,1.0,5571,64,1.9928861535910678,6.558656036734515,4.565769883143446,3.9147345776994875,5.385265415419344,0.24599326559435056,0.06790862425688698,0.3594491039508257,0.980793394363669,0.7517501346257405,1.4353299140930176,22.47278594970703,2.7633321285247803
substituted,ln_x2_physics,ALPHA_2.0,2.0,5571,64,1.9992857636236798,5.824998407365785,3.825712643742105,3.069894330899682,4.799999010041241,-0.49406397380699063,-0.6297704445171994,-0.3135646777454996,0.980793394363669,0.7942918686052773,1.1158372163772583,20.277175903320312,5.5266642570495605
substituted,ln_x2_physics,SIGHB_0.5,3.0,5571,64,2.272712529455149,7.874926569814365,5.602214040359216,5.136635523468222,6.035707800490757,1.2824374228101205,0.3396276785323901,2.035419675848204,0.980793394363669,0.8052414288278585,1.4494646787643433,27.334436416625977,3.9332895278930664
substituted,ln_x2_physics,ITER_2,4.0,5571,64,2.188873388051865,4.96835683975613,2.7794834517042655,2.2441952330721375,3.2183791868616187,-1.54029316584483,-2.555253027323147,-0.7951290634453698,0.980793394363669,0.9513552324537785,1.031205177307129,8.514643669128418,0.0
substituted,ln_x2_physics,SIGHB_2.0,5.0,5571,64,2.3846073301391577,8.18876793209327,5.804160601954113,4.987308602080902,6.689272088846811,1.4843839844050168,0.9484778666953406,1.9850064397191598,0.980793394363669,0.7684437264404954,0.6562768220901489,20.75383949279785,3.556457042694092
substituted,ln_x2_physics,NO_SG,5.0,5571,64,1.9214656852862375,6.2412423028353325,4.3197766175490955,3.6224523382091194,5.231956700267647,0.0,0.0,0.0,0.0,0.0,1.229392409324646,21.636363983154297,0.0
substituted,ln_x2_physics,CHB_0,6.0,5571,64,2.33419735970974,8.750806338037702,6.416608978327961,4.896967972493444,7.599103375292771,2.0968323607788664,0.9171057605363123,3.0112613680868225,0.980793394363669,0.8018309100700054,0.4987605810165405,14.381105422973633,3.9519808292388916
substituted,ln_x2_physics,ITER_1,7.0,5571,64,2.2913158068310904,3.4446563388464537,1.1533405320153636,0.9045381065547194,1.4054563633549104,-3.1664360855337317,-4.122526254904139,-2.3504113820137125,0.980793394363669,0.980793394363669,1.3914653062820435,2.6928889751434326,0.0
substituted,ln_x2_physics,ALPHA_0,8.0,5571,64,2.1652297585055,7.030906116554943,4.865676358049444,4.250886160967781,5.576038599121897,0.5458997405003483,0.15121916928756785,0.8035502535990028,0.9806138933764136,0.773290253096392,1.754671573638916,23.489465713500977,5.5266642570495605
solvent_only,ln_x2_final,R0,,5274,61,1.9516445640791318,6.517143566386223,4.5654990023070905,3.8124011914215328,5.522981372859041,0.0,0.0,0.0,0.0,0.0,1.2430930137634277,22.826839447021484,0.0
solvent_only,ln_x2_final,R0_iter30,,5274,61,2.665180305339031,9.476915874553095,6.811735569214063,5.685072057148329,8.098499281358206,2.246236566906973,1.6535313350479388,2.860521422311238,0.9819871065604854,0.7722791050436102,1.1801211833953857,29.837913513183594,0.0
solvent_only,ln_x2_final,ALPHA_0.5,1.0,5274,61,2.0213038063477433,6.847546783878959,4.8262429775312174,4.121630520752597,5.698936889260917,0.2607439752241272,0.07202640343684427,0.37931290695968967,0.9819871065604854,0.7400455062571104,1.4505109786987305,23.7177791595459,2.7633321285247803
solvent_only,ln_x2_final,ALPHA_2.0,2.0,5274,61,2.0329964766771482,6.086661065126213,4.053664588449066,3.24900780696115,5.085211777978934,-0.5118344138580246,-0.6556508190040298,-0.32340984895554514,0.9819871065604854,0.7849829351535836,1.1348766088485718,21.373401641845703,5.5266642570495605
solvent_only,ln_x2_final,SIGHB_0.5,3.0,5274,61,2.327122584590603,8.25462306672012,5.927500482129516,5.417053778140517,6.396594774239566,1.3620014798224256,0.3549138643269274,2.150980098350868,0.9819871065604854,0.7965491088357982,1.4938985109329224,28.820484161376953,3.9332895278930664
solvent_only,ln_x2_final,ITER_2,4.0,5274,61,2.2383817084316058,5.179751128824607,2.9413694203930016,2.339963863204551,3.4264085107791846,-1.6241295819140886,-2.716129915361166,-0.8249794764220009,0.9819871065604854,0.9508911642017444,1.0385388135910034,8.954757690429688,0.0
solvent_only,ln_x2_final,SIGHB_2.0,5.0,5274,61,2.4263219942580685,8.561696185836107,6.135374191578039,5.2359259407093,7.081181471503291,1.5698751892709484,0.9937957202810829,2.1151485493732727,0.9819871065604854,0.7681076981418279,0.6779085397720337,21.912134170532227,3.556457042694092
solvent_only,ln_x2_final,NO_SG,5.0,5274,61,1.9516445640791318,6.517143566386223,4.5654990023070905,3.8124011914215328,5.522981372859041,0.0,0.0,0.0,0.0,0.0,1.2430930137634277,22.826839447021484,0.0
solvent_only,ln_x2_final,CHB_0,6.0,5274,61,2.3753230331790323,9.155385218736454,6.780062185557422,5.129830762024087,8.069667094477987,2.214563183250331,0.9658085893396998,3.1971168600227022,0.9819871065604854,0.8033750474023511,0.5143404603004456,15.180524826049805,3.9519808292388916
solvent_only,ln_x2_final,ITER_1,7.0,5274,61,2.3363686357071694,3.5535719865989095,1.2172033508917406,0.951907437036604,1.4693539687953947,-3.348295651415349,-4.37309461492789,-2.4909210509431663,0.9819871065604854,0.9819871065604854,1.3850597143173218,2.793853521347046,0.0
solvent_only,ln_x2_final,ALPHA_0,8.0,5274,61,2.1988788647367508,7.340622494777002,5.141743630040251,4.474419594120272,5.90076011072658,0.576244627733161,0.1648030942763427,0.852367430830122,0.981797497155859,0.7627986348122867,1.7787201404571533,24.800710678100586,5.5266642570495605
solvent_only,ln_x2_physics,R0,,5274,61,1.9516445640791318,6.517143566386223,4.5654990023070905,3.8124011914215328,5.522981372859041,0.0,0.0,0.0,0.0,0.0,1.2430930137634277,22.826839447021484,0.0
solvent_only,ln_x2_physics,R0_iter30,,5274,61,2.665180305339031,9.476915874553095,6.811735569214063,5.685072057148329,8.098499281358206,2.246236566906973,1.6535313350479388,2.860521422311238,0.9819871065604854,0.7722791050436102,1.1801211833953857,29.837913513183594,0.0
solvent_only,ln_x2_physics,ALPHA_0.5,1.0,5274,61,2.0213038063477433,6.847546783878959,4.8262429775312174,4.121630520752597,5.698936889260917,0.2607439752241272,0.07202640343684427,0.37931290695968967,0.9819871065604854,0.7400455062571104,1.4505109786987305,23.7177791595459,2.7633321285247803
solvent_only,ln_x2_physics,ALPHA_2.0,2.0,5274,61,2.0329964766771482,6.086661065126213,4.053664588449066,3.24900780696115,5.085211777978934,-0.5118344138580246,-0.6556508190040298,-0.32340984895554514,0.9819871065604854,0.7849829351535836,1.1348766088485718,21.373401641845703,5.5266642570495605
solvent_only,ln_x2_physics,SIGHB_0.5,3.0,5274,61,2.327122584590603,8.25462306672012,5.927500482129516,5.417053778140517,6.396594774239566,1.3620014798224256,0.3549138643269274,2.150980098350868,0.9819871065604854,0.7965491088357982,1.4938985109329224,28.820484161376953,3.9332895278930664
solvent_only,ln_x2_physics,ITER_2,4.0,5274,61,2.2383817084316058,5.179751128824607,2.9413694203930016,2.339963863204551,3.4264085107791846,-1.6241295819140886,-2.716129915361166,-0.8249794764220009,0.9819871065604854,0.9508911642017444,1.0385388135910034,8.954757690429688,0.0
solvent_only,ln_x2_physics,SIGHB_2.0,5.0,5274,61,2.4263219942580685,8.561696185836107,6.135374191578039,5.2359259407093,7.081181471503291,1.5698751892709484,0.9937957202810829,2.1151485493732727,0.9819871065604854,0.7681076981418279,0.6779085397720337,21.912134170532227,3.556457042694092
solvent_only,ln_x2_physics,NO_SG,5.0,5274,61,1.9516445640791318,6.517143566386223,4.5654990023070905,3.8124011914215328,5.522981372859041,0.0,0.0,0.0,0.0,0.0,1.2430930137634277,22.826839447021484,0.0
solvent_only,ln_x2_physics,CHB_0,6.0,5274,61,2.3753230331790323,9.155385218736454,6.780062185557422,5.129830762024087,8.069667094477987,2.214563183250331,0.9658085893396998,3.1971168600227022,0.9819871065604854,0.8033750474023511,0.5143404603004456,15.180524826049805,3.9519808292388916
solvent_only,ln_x2_physics,ITER_1,7.0,5274,61,2.3363686357071694,3.5535719865989095,1.2172033508917406,0.951907437036604,1.4693539687953947,-3.348295651415349,-4.37309461492789,-2.4909210509431663,0.9819871065604854,0.9819871065604854,1.3850597143173218,2.793853521347046,0.0
solvent_only,ln_x2_physics,ALPHA_0,8.0,5274,61,2.1988788647367508,7.340622494777002,5.141743630040251,4.474419594120272,5.90076011072658,0.576244627733161,0.1648030942763427,0.852367430830122,0.981797497155859,0.7627986348122867,1.7787201404571533,24.800710678100586,5.5266642570495605
both_sides,ln_x2_final,R0,,297,18,1.3855619588427202,1.3419047137195426,-0.043657245123177466,-0.24154856265417196,0.1692102375166486,0.0,0.0,0.0,0.0,0.0,0.9861035346984863,0.49641260504722595,0.0
both_sides,ln_x2_final,R0_iter30,,297,18,1.7422257812299728,1.3898198725865298,-0.35240590864344257,-0.5102066983577775,-0.14623119952926208,-0.30874866352026514,-0.6067927117752782,0.03321568113069028,0.9595959595959596,0.9595959595959596,0.30611395835876465,0.4422811269760132,0.0
both_sides,ln_x2_final,ALPHA_0.5,1.0,297,18,1.4882575319119178,1.428656708654329,-0.05960082325758865,-0.27585326323139153,0.18309135997235773,-0.015943578134411197,-0.08474889677451797,0.06167169652786241,0.9595959595959596,0.9595959595959596,1.165750503540039,0.36470264196395874,2.7633321285247803
both_sides,ln_x2_final,ALPHA_2.0,2.0,297,18,1.4006652227348282,1.1785039392563554,-0.2221612834784728,-0.37326608030895164,-0.06694388445494177,-0.17850403835529535,-0.36274304645472355,0.01890469350786201,0.9595959595959596,0.9595959595959596,0.7777434587478638,0.810882031917572,5.5266642570495605
both_sides,ln_x2_final,SIGHB_0.5,3.0,297,18,1.3065218534134455,1.1324372611243028,-0.17408459228914272,-0.3331596323605266,0.012419387603218033,-0.13042734716596524,-0.4334973531708149,0.18875034515444863,0.9595959595959596,0.9595959595959596,0.6604282855987549,0.9457882642745972,3.9332895278930664
both_sides,ln_x2_final,ITER_2,4.0,297,18,1.3097256382782796,1.2145067369037734,-0.09521890137450602,-0.30699662461296123,0.1377456539354077,-0.05156165625132855,-0.31620141753293457,0.2712180302875541,0.9595959595959596,0.9595959595959596,0.9009739756584167,0.6992811560630798,0.0
both_sides,ln_x2_final,SIGHB_2.0,5.0,297,18,1.6438560218457718,1.5664662141144008,-0.0773898077313709,-0.1886370488786144,0.023892093496565132,-0.03373256260819347,-0.3004516633044782,0.20574446051878453,0.9595959595959596,0.7744107744107744,0.2721496522426605,0.1853727102279663,3.556457042694092
both_sides,ln_x2_final,NO_SG,5.0,297,18,1.3855619588427202,1.3419047137195426,-0.043657245123177466,-0.24154856265417196,0.1692102375166486,0.0,0.0,0.0,0.0,0.0,0.9861035346984863,0.49641260504722595,0.0
both_sides,ln_x2_final,CHB_0,6.0,297,18,1.6039050974974545,1.5664662141144008,-0.03743888338305344,-0.13835693837000052,0.04735504937065063,0.006218361740124016,-0.25204202907974166,0.23390694846960433,0.9595959595959596,0.7744107744107744,0.22209963202476501,0.1853727102279663,3.9519808292388916
both_sides,ln_x2_final,ITER_1,7.0,297,18,1.4912867849710332,1.5105784726967912,0.01929168772575814,-0.4068729911555802,0.5068041796782968,0.06294893284893559,-0.3609038220232277,0.5674307029766925,0.9595959595959596,0.9595959595959596,1.5052157640457153,0.9000022411346436,0.0
both_sides,ln_x2_final,ALPHA_0,8.0,297,18,1.5677032054293492,1.531094066914754,-0.03660913851459476,-0.27488955232877904,0.2283876988631897,0.007048106608582667,-0.11619919245384891,0.1468747092559862,0.9595959595959596,0.9595959595959596,1.327623963356018,0.20494046807289124,5.5266642570495605
both_sides,ln_x2_physics,R0,,297,18,1.3855619588427202,1.3419047137195426,-0.043657245123177466,-0.24154856265417196,0.1692102375166486,0.0,0.0,0.0,0.0,0.0,0.9861035346984863,0.49641260504722595,0.0
both_sides,ln_x2_physics,R0_iter30,,297,18,1.7422257812299728,1.3898198725865298,-0.35240590864344257,-0.5102066983577775,-0.14623119952926208,-0.30874866352026514,-0.6067927117752782,0.03321568113069028,0.9595959595959596,0.9595959595959596,0.30611395835876465,0.4422811269760132,0.0
both_sides,ln_x2_physics,ALPHA_0.5,1.0,297,18,1.4882575319119178,1.428656708654329,-0.05960082325758865,-0.27585326323139153,0.18309135997235773,-0.015943578134411197,-0.08474889677451797,0.06167169652786241,0.9595959595959596,0.9595959595959596,1.165750503540039,0.36470264196395874,2.7633321285247803
both_sides,ln_x2_physics,ALPHA_2.0,2.0,297,18,1.4006652227348282,1.1785039392563554,-0.2221612834784728,-0.37326608030895164,-0.06694388445494177,-0.17850403835529535,-0.36274304645472355,0.01890469350786201,0.9595959595959596,0.9595959595959596,0.7777434587478638,0.810882031917572,5.5266642570495605
both_sides,ln_x2_physics,SIGHB_0.5,3.0,297,18,1.3065218534134455,1.1324372611243028,-0.17408459228914272,-0.3331596323605266,0.012419387603218033,-0.13042734716596524,-0.4334973531708149,0.18875034515444863,0.9595959595959596,0.9595959595959596,0.6604282855987549,0.9457882642745972,3.9332895278930664
both_sides,ln_x2_physics,ITER_2,4.0,297,18,1.3097256382782796,1.2145067369037734,-0.09521890137450602,-0.30699662461296123,0.1377456539354077,-0.05156165625132855,-0.31620141753293457,0.2712180302875541,0.9595959595959596,0.9595959595959596,0.9009739756584167,0.6992811560630798,0.0
both_sides,ln_x2_physics,SIGHB_2.0,5.0,297,18,1.6438560218457718,1.5664662141144008,-0.0773898077313709,-0.1886370488786144,0.023892093496565132,-0.03373256260819347,-0.3004516633044782,0.20574446051878453,0.9595959595959596,0.7744107744107744,0.2721496522426605,0.1853727102279663,3.556457042694092
both_sides,ln_x2_physics,NO_SG,5.0,297,18,1.3855619588427202,1.3419047137195426,-0.043657245123177466,-0.24154856265417196,0.1692102375166486,0.0,0.0,0.0,0.0,0.0,0.9861035346984863,0.49641260504722595,0.0
both_sides,ln_x2_physics,CHB_0,6.0,297,18,1.6039050974974545,1.5664662141144008,-0.03743888338305344,-0.13835693837000052,0.04735504937065063,0.006218361740124016,-0.25204202907974166,0.23390694846960433,0.9595959595959596,0.7744107744107744,0.22209963202476501,0.1853727102279663,3.9519808292388916
both_sides,ln_x2_physics,ITER_1,7.0,297,18,1.4912867849710332,1.5105784726967912,0.01929168772575814,-0.4068729911555802,0.5068041796782968,0.06294893284893559,-0.3609038220232277,0.5674307029766925,0.9595959595959596,0.9595959595959596,1.5052157640457153,0.9000022411346436,0.0
both_sides,ln_x2_physics,ALPHA_0,8.0,297,18,1.5677032054293492,1.531094066914754,-0.03660913851459476,-0.27488955232877904,0.2283876988631897,0.007048106608582667,-0.11619919245384891,0.1468747092559862,0.9595959595959596,0.9595959595959596,1.327623963356018,0.20494046807289124,5.5266642570495605
placebo_HBinactive,ln_x2_final,R0,,894,31,1.522728387549757,4.537412605039335,3.0146842174895783,2.2324779165181736,4.052764202335343,0.0,0.0,0.0,0.0,0.0,0.814189076423645,17.297042846679688,0.0
placebo_HBinactive,ln_x2_final,R0_iter30,,894,31,2.197800833965137,7.756684265039146,5.558883431074009,4.272455127349751,6.929760498768926,2.5441992135844314,1.673914519900203,3.294165589703088,0.9474272930648769,0.9038031319910514,1.0030779838562012,27.396804809570312,0.0
placebo_HBinactive,ln_x2_final,ALPHA_0.5,1.0,894,31,1.608751130635681,4.463335748250783,2.8545846176151026,2.2159198096884754,3.6147072263971727,-0.1600995998744753,-0.9811607311230598,0.4030477907405678,0.9474272930648769,0.8769574944071589,0.9479628801345825,17.689117431640625,2.7633321285247803
placebo_HBinactive,ln_x2_final,ALPHA_2.0,2.0,894,31,1.5333055977390344,4.597167411559915,3.0638618138208815,2.025818284174563,4.528885249862772,0.049177596331303156,-0.462682391418364,0.6721974931112491,0.9474272930648769,0.8970917225950783,0.6114279627799988,15.912107467651367,5.5266642570495605
placebo_HBinactive,ln_x2_final,SIGHB_0.5,3.0,894,31,1.7919104404657131,4.6749398599109995,2.8830294194452857,1.7983228771195148,4.226884996836023,-0.13165479804429223,-1.4456281330218788,1.261434118222307,0.9474272930648769,0.9183445190156599,0.6930225491523743,18.837909698486328,3.9332895278930664
placebo_HBinactive,ln_x2_final,ITER_2,4.0,894,31,1.848256793660777,3.1266093371733636,1.2783525435125866,0.5888506904917579,1.9861830627263923,-1.7363316739769912,-3.1799672839713606,-0.6166229909716187,0.9474272930648769,0.9440715883668904,0.6494117379188538,5.238661289215088,0.0
placebo_HBinactive,ln_x2_final,SIGHB_2.0,5.0,894,31,1.918030282951438,6.134418081938869,4.216387798987433,3.075120635180773,5.4635076872814645,1.201703581497854,0.4414507156385521,1.9467480147273684,0.9474272930648769,0.8389261744966443,0.7008442878723145,19.05600929260254,3.556457042694092
placebo_HBinactive,ln_x2_final,NO_SG,5.0,894,31,1.522728387549757,4.537412605039335,3.0146842174895783,2.2324779165181736,4.052764202335343,0.0,0.0,0.0,0.0,0.0,0.814189076423645,17.297042846679688,0.0
placebo_HBinactive,ln_x2_final,CHB_0,6.0,894,31,1.7956295663884192,6.578794351874222,4.783164785485804,3.7426003996598105,6.07362435074745,1.7684805679962248,1.0814424430964993,2.544512212548826,0.9474272930648769,0.8378076062639821,0.43114784359931946,15.282960891723633,3.9519808292388916
placebo_HBinactive,ln_x2_final,ITER_1,7.0,894,31,1.8706651157013188,2.99849586439684,1.1278307486955217,0.8873384648214094,1.4221629936116003,-1.8868534687940561,-2.877455438715017,-1.125062805116727,0.9474272930648769,0.9474272930648769,0.7902206778526306,2.172410726547241,0.0
placebo_HBinactive,ln_x2_final,ALPHA_0,8.0,894,31,1.7263403145057468,4.45331570650253,2.7269753919967843,1.7837238653241072,3.650467532976224,-0.28770882549279403,-1.7405278924297867,0.7334579602445801,0.9474272930648769,0.8982102908277405,1.040906548500061,17.7667179107666,5.5266642570495605
placebo_HBinactive,ln_x2_physics,R0,,894,31,1.522728387549757,4.537412605039335,3.0146842174895783,2.2324779165181736,4.052764202335343,0.0,0.0,0.0,0.0,0.0,0.814189076423645,17.297042846679688,0.0
placebo_HBinactive,ln_x2_physics,R0_iter30,,894,31,2.197800833965137,7.756684265039146,5.558883431074009,4.272455127349751,6.929760498768926,2.5441992135844314,1.673914519900203,3.294165589703088,0.9474272930648769,0.9038031319910514,1.0030779838562012,27.396804809570312,0.0
placebo_HBinactive,ln_x2_physics,ALPHA_0.5,1.0,894,31,1.608751130635681,4.463335748250783,2.8545846176151026,2.2159198096884754,3.6147072263971727,-0.1600995998744753,-0.9811607311230598,0.4030477907405678,0.9474272930648769,0.8769574944071589,0.9479628801345825,17.689117431640625,2.7633321285247803
placebo_HBinactive,ln_x2_physics,ALPHA_2.0,2.0,894,31,1.5333055977390344,4.597167411559915,3.0638618138208815,2.025818284174563,4.528885249862772,0.049177596331303156,-0.462682391418364,0.6721974931112491,0.9474272930648769,0.8970917225950783,0.6114279627799988,15.912107467651367,5.5266642570495605
placebo_HBinactive,ln_x2_physics,SIGHB_0.5,3.0,894,31,1.7919104404657131,4.6749398599109995,2.8830294194452857,1.7983228771195148,4.226884996836023,-0.13165479804429223,-1.4456281330218788,1.261434118222307,0.9474272930648769,0.9183445190156599,0.6930225491523743,18.837909698486328,3.9332895278930664
placebo_HBinactive,ln_x2_physics,ITER_2,4.0,894,31,1.848256793660777,3.1266093371733636,1.2783525435125866,0.5888506904917579,1.9861830627263923,-1.7363316739769912,-3.1799672839713606,-0.6166229909716187,0.9474272930648769,0.9440715883668904,0.6494117379188538,5.238661289215088,0.0
placebo_HBinactive,ln_x2_physics,SIGHB_2.0,5.0,894,31,1.918030282951438,6.134418081938869,4.216387798987433,3.075120635180773,5.4635076872814645,1.201703581497854,0.4414507156385521,1.9467480147273684,0.9474272930648769,0.8389261744966443,0.7008442878723145,19.05600929260254,3.556457042694092
placebo_HBinactive,ln_x2_physics,NO_SG,5.0,894,31,1.522728387549757,4.537412605039335,3.0146842174895783,2.2324779165181736,4.052764202335343,0.0,0.0,0.0,0.0,0.0,0.814189076423645,17.297042846679688,0.0
placebo_HBinactive,ln_x2_physics,CHB_0,6.0,894,31,1.7956295663884192,6.578794351874222,4.783164785485804,3.7426003996598105,6.07362435074745,1.7684805679962248,1.0814424430964993,2.544512212548826,0.9474272930648769,0.8378076062639821,0.43114784359931946,15.282960891723633,3.9519808292388916
placebo_HBinactive,ln_x2_physics,ITER_1,7.0,894,31,1.8706651157013188,2.99849586439684,1.1278307486955217,0.8873384648214094,1.4221629936116003,-1.8868534687940561,-2.877455438715017,-1.125062805116727,0.9474272930648769,0.9474272930648769,0.7902206778526306,2.172410726547241,0.0
placebo_HBinactive,ln_x2_physics,ALPHA_0,8.0,894,31,1.7263403145057468,4.45331570650253,2.7269753919967843,1.7837238653241072,3.650467532976224,-0.28770882549279403,-1.7405278924297867,0.7334579602445801,0.9474272930648769,0.8982102908277405,1.040906548500061,17.7667179107666,5.5266642570495605
active_HBactive,ln_x2_final,R0,,2416,23,2.0173027254470215,6.397450119719601,4.380147394272581,3.3986825526532836,5.375817808271313,0.0,0.0,0.0,0.0,0.0,1.2341868877410889,20.149005889892578,0.0
active_HBactive,ln_x2_final,R0_iter30,,2416,23,2.5852427706142773,9.557995684356584,6.972752913742306,5.175291956650057,8.716249241993951,2.5926055194697257,1.7052008197567115,3.5236459117507506,1.0,0.8149834437086093,1.0226446390151978,24.702442169189453,0.0
active_HBactive,ln_x2_final,ALPHA_0.5,1.0,2416,23,2.074499870689129,6.936445509663172,4.861945638974042,3.8523193792280304,5.836112388357239,0.4817982447014622,0.37772540630796364,0.5587392531218485,1.0,0.7764900662251656,1.4507948160171509,20.99964141845703,2.7633321285247803
