solute_key,solvent_key,solute,solvent,m,g2002,g2010,gdsp
Brc1ccccc1,OCCO,bromobenzene,"1,2-ethanediol",3.80666248977032,3.1424726749577045,2.6596858037562363,
C#CCCCCC,c1ccncc1,1-heptyne,pyridine,0.4382549309311553,0.1012642242577676,0.16204609009949797,0.1967609727097006
C1=CCCCC1,c1ccncc1,cyclohexene,pyridine,0.9082585601768908,0.5906718311622827,0.7668925537958681,0.772360416400948
C1CCOC1,c1ccncc1,tetrahydrofuran,pyridine,-0.0725706928348353,0.1974325645892037,0.021355255719180573,0.021383623513843063
C=CCCCCC,c1ccncc1,1-heptene,pyridine,1.2725655957915476,0.7210133764771065,0.9564894557745809,0.961747744708582
CC#N,c1ccncc1,acetonitrile,pyridine,0.378436435720245,-0.9509189440942215,0.3259204464098291,0.3972321907590727
CC(C)(C)N,CO,2-methyl-2-propanamine,methanol,-1.3862943611198906,1.1388134705078448,-0.5251110848034624,-0.15475310428555944
CC(C)(C)N,c1ccccc1,2-methyl-2-propanamine,benzene,0.2776317365982795,-0.6949984114223107,0.4572157914168672,0.48037423610611396
CC(C)=O,c1ccncc1,acetone,pyridine,0.1655144384775733,-0.6346687422487961,-0.14015246843257928,0.12197886318396134
CC(C)Br,c1ccncc1,2-bromopropane,pyridine,0.3001045924503381,0.3055769442226594,0.21264592676063096,
CC(Cl)CCl,c1ccncc1,"1,2-dichloropropane",pyridine,-0.0725706928348353,0.34309685785887006,-0.046454733746581475,-0.04622592249615077
CCC(C)N,CO,2-butanamine,methanol,-0.2876820724517809,1.1858290091888737,-0.4564554332808939,-0.08609745276299097
CCC(C)N,c1ccccc1,2-butanamine,benzene,0.1397619423751586,-0.5972578582495816,0.4861107482719584,0.5092691929612052
CCCCCCC,c1ccncc1,heptane,pyridine,1.913977101952304,1.229434967065184,1.6731966406643768,1.6772820957036019
CCCCCCCC,c1ccncc1,octane,pyridine,2.0706530356467567,1.3182911029227886,1.8169679842212834,1.8210534392605084
CCCCCCCCC,c1ccncc1,nonane,pyridine,2.169053700369523,1.396815098281011,1.9483955676552538,1.9524810226944749
CCCCCCCCCC,c1ccncc1,decane,pyridine,2.26176309847379,1.4640253675377641,2.0699846718877133,2.0740701269269346
CCCCCCCCCCC,c1ccncc1,undecane,pyridine,2.322387720290225,1.527015544287331,2.1864765051134736,2.190561960152695
CCCCCCN,CO,1-hexanamine,methanol,2.617395832834079,1.496174910502506,-0.4766630227595918,-0.07209820995691518
CCCCCCN,c1ccccc1,1-hexanamine,benzene,2.785011242238338,-0.5540410183556284,0.5542751196929551,0.5698240458236096
CCCCCOC(C)=O,c1ccncc1,pentyl ethanoate,pyridine,0.1133286853070032,0.015394803052861589,0.08161077650643506,0.13083245476183822
CCCCCl,c1ccncc1,1-chlorobutane,pyridine,0.4317824164255378,0.3844586795907491,0.373877858538217,0.3744827739991587
CCCCN,CO,1-butanamine,methanol,-0.7765287894989963,1.0725949075619485,-0.6602357671585485,-0.28987778664064556
CCCCOC(C)=O,c1ccncc1,butyl ethanoate,pyridine,0.1397619423751586,-0.036322742167555155,0.08196084641156506,0.14912621651739172
CCCN(CCC)CCC,CCCCCCCCCCCCCCCC,tripropylamine,hexadecane,0.009950330853168,-0.21401212353817792,-0.01857894570107696,0.012087021298658216
CCCN(CCC)CCC,CO,tripropylamine,methanol,2.1736147116970854,3.031125690132943,2.6677511903095597,2.976471255759493
CCCN(CCC)CCC,c1ccccc1,tripropylamine,benzene,1.0260415958332745,0.6272733844365914,0.5782285299716889,0.6203042199408615
CCCNCCC,CO,dipropylamine,methanol,-0.0943106794712412,2.0528351855074454,0.841897807154689,1.164219205447707
CCCNCCC,c1ccccc1,dipropylamine,benzene,0.3920420877760237,-0.00013200417326156288,0.3377896416765841,0.3750447663132491
