axis_a,stratum_a,axis_b,stratum_b,same_axis,rows_a,rows_b,rows_shared,pairs_a,pairs_b,pairs_shared,shared_share_of_a,shared_share_of_b,relation,double_counts_if_cited_as_separate_evidence
solvent_class_coarse,hb_acceptor_only,solvent_family_fine,nitrile,False,70,2,2,59,2,2,0.0286,1.0,b_inside_a,True
solvent_family_fine,aromatic_hydrocarbon,solute_family,tertiary_amine,False,14,4,2,9,4,2,0.1429,0.5,partial,True
solvent_class,aprotic_acceptor,solute_family,halogenated_aromatic,False,57,8,1,57,8,1,0.0175,0.125,partial,True
solvent_class_coarse,hb_donor_acceptor_O,solute_family,tertiary_amine,False,328,4,1,75,4,1,0.003,0.25,partial,True
solvent_class_coarse,hb_acceptor_only,solute_family,nitro,False,70,1,1,59,1,1,0.0143,1.0,b_inside_a,True
solvent_class,aprotic_acceptor,solute_family,nitro,False,57,1,1,57,1,1,0.0175,1.0,b_inside_a,True
solute_family,halogenated_aromatic,solvent_class_x_solute_role,aprotic_acceptor | organic_solute,False,8,57,1,8,57,1,0.125,0.0175,partial,True
solvent_class,aromatic_hydrocarbon,solute_family,azine,False,14,6,1,9,6,1,0.0714,0.1667,partial,True
solvent_class_coarse,hb_acceptor_only,solute_family,halogenated_aromatic,False,70,8,1,59,8,1,0.0143,0.125,partial,True
solute_family,nitro,solvent_class_x_solute_role,aprotic_acceptor | organic_solute,False,1,57,1,1,57,1,1.0,0.0175,a_inside_b,True
solute_family,tertiary_amine,solvent_class_x_solute_role,aliphatic_hydrocarbon | organic_solute,False,4,2,1,4,2,1,0.25,0.5,partial,True
solute_family,tertiary_amine,solvent_class_x_solute_role,mono_alcohol | organic_solute,False,4,35,1,4,17,1,0.25,0.0286,partial,True
solute_family,azine,solvent_class_x_solute_role,aromatic_hydrocarbon | organic_solute,False,6,8,1,6,8,1,0.1667,0.125,partial,True
solvent_family_fine,aromatic_hydrocarbon,solute_family,azine,False,14,6,1,9,6,1,0.0714,0.1667,partial,True
solvent_class_coarse,hydrocarbon_nonHB,solute_family,alkane,False,16,129,1,11,45,1,0.0625,0.0078,partial,True
solvent_family_fine,ester,solute_family,ketone,False,30,63,1,30,11,1,0.0333,0.0159,partial,True
solvent_family_fine,nitrile,solute_family,alkane,False,2,129,1,2,45,1,0.5,0.0078,partial,True
solvent_family_fine,mono_alcohol,solute_family,tertiary_amine,False,35,4,1,17,4,1,0.0286,0.25,partial,True
whole_set,all,solute_family,nitro,False,477,1,1,185,1,1,0.0021,1.0,b_inside_a,True
solvent_family_fine,ketone_aldehyde,solute_family,aromatic_hydrocarbon,False,2,71,1,2,32,1,0.5,0.0141,partial,True
solvent_family_fine,ketone_aldehyde,solute_family,alkane,False,2,129,1,2,45,1,0.5,0.0078,partial,True
solvent_class,aliphatic_hydrocarbon,solute_family,alkane,False,2,129,1,2,45,1,0.5,0.0078,partial,True
solvent_class,aliphatic_hydrocarbon,solute_family,tertiary_amine,False,2,4,1,2,4,1,0.5,0.25,partial,True
solute_role,organic_solute,solute_family,nitro,False,440,1,1,179,1,1,0.0023,1.0,b_inside_a,True
solvent_family_fine,ester,solute_family,nitro,False,30,1,1,30,1,1,0.0333,1.0,b_inside_a,True
solvent_family_fine,ester,solute_family,nitrile,False,30,2,1,30,2,1,0.0333,0.5,partial,True
solvent_family_fine,ester,solute_family,halogenated_aromatic,False,30,8,1,30,8,1,0.0333,0.125,partial,True
solvent_class_coarse,hydrocarbon_nonHB,solute_family,azine,False,16,6,1,11,6,1,0.0625,0.1667,partial,True
solvent_family_fine,ester,solute_family,ester,False,30,3,1,30,3,1,0.0333,0.3333,partial,True
solvent_family_fine,ester,solute_family,alkyne,False,30,2,1,30,2,1,0.0333,0.5,partial,True
solvent_family_fine,azine,solute_family,nitrile,False,23,2,1,23,2,1,0.0435,0.5,partial,True
solvent_family_fine,azine,solute_family,ketone,False,23,63,1,23,11,1,0.0435,0.0159,partial,True
solvent_family_fine,azine,solute_family,ether,False,23,12,1,23,4,1,0.0435,0.0833,partial,True
solvent_family_fine,azine,solute_family,alkyne,False,23,2,1,23,2,1,0.0435,0.5,partial,True
solute_family,alkane,solvent_class_x_solute_role,aliphatic_hydrocarbon | organic_solute,False,129,2,1,45,2,1,0.0078,0.5,partial,True
solvent_family_fine,nitrile,solute_family,aromatic_hydrocarbon,False,2,71,1,2,32,1,0.5,0.0141,partial,True
solvent_family_fine,aliphatic_hydrocarbon,solute_family,tertiary_amine,False,2,4,1,2,4,1,0.5,0.25,partial,True
solvent_family_fine,aliphatic_hydrocarbon,solute_family,alkane,False,2,129,1,2,45,1,0.5,0.0078,partial,True
solvent_class,mono_alcohol,solute_family,tertiary_amine,False,35,4,1,17,4,1,0.0286,0.25,partial,True
