sample_id,ln_x2_final,T,T_m,dH_fus,tau_12,tau_21,alpha,eta,denominator,d_lnx2_dTm,d_lnx2_ddH,d_lnx2_dtau12,d_lnx2_dtau21,d_lnx2_dalpha,d_lnx2_dTm_abs,d_lnx2_ddH_abs,d_lnx2_dtau12_abs,d_lnx2_dtau21_abs,d_lnx2_dalpha_abs,abs_error
10,-7.2778287,278.15,662.4834,17511.096,1.8407522,1.3381736,0.18208095,-6.783196119760532,0.9953149575618478,-0.004821617747635765,-0.0002520481489141318,-1.0021191349488983,-0.5951432855572478,1.4135960770455303,0.004821617747635765,0.0002520481489141318,1.0021191349488983,0.5951432855572478,1.4135960770455303,0.864358597403232
11,-7.1007032,283.15,662.4834,17511.096,1.8185967,1.3039614,0.18208545,-6.677461411835074,0.9944942667074129,-0.004825596712343292,-0.0002445779008620253,-1.0024665443172374,-0.6041868200708385,1.352489791412595,0.004825596712343292,0.0002445779008620253,1.0024665443172374,0.6041868200708385,1.352489791412595,0.7772711134409294
12,-6.929306,288.15,662.4833,17511.094,1.7972097,1.2709386,0.1820899,-6.574956197994268,0.9935652229426739,-0.004830109844566602,-0.00023738785815107468,-1.0028550602286654,-0.6130719111721196,1.2946667268233085,0.004830109844566602,0.00023738785815107468,1.0028550602286654,0.6130719111721196,1.2946667268233085,0.7041196209742049
13,-6.7633452,293.15,662.4834,17511.096,1.776552,1.2390436,0.18209429,-6.4754854624697815,0.9925184973664013,-0.004835202846699108,-0.00023046504016669677,-1.0032874594790495,-0.6218121112293173,1.2399465230413695,0.004835202846699108,0.00023046504016669677,1.0032874594790495,0.6218121112293173,1.2399465230413695,0.6403470487077465
14,-6.6025376,298.15,662.4834,17511.096,1.7565861,1.2082196,0.18209872,-6.378864555448493,0.9913443889137318,-0.0048409294666267215,-0.000223797174698259,-1.003766545220671,-0.6304205145741177,1.1881633101873492,0.0048409294666267215,0.000223797174698259,1.003766545220671,0.6304205145741177,1.1881633101873492,0.5691831928280768
15,-6.446622,303.15,662.4834,17511.096,1.7372782,1.1784133,0.18210313,-6.2849242598743515,0.9900329259047321,-0.004847342081559559,-0.0002173728778315903,-1.0042951047954403,-0.6389104449644012,1.1391632094649309,0.004847342081559559,0.0002173728778315903,1.0042951047954403,0.6389104449644012,1.1391632094649309,0.5113746005825632
16,-6.295353,308.15,662.4833,17511.092,1.7185956,1.1495765,0.18210751,-6.19350333367389,0.9885738661785274,-0.004854496745895926,-0.00021118142517276745,-1.0048759063354105,-0.647294594057972,1.092806328123813,0.004854496745895926,0.00021118142517276745,1.0048759063354105,0.647294594057972,1.092806328123813,0.4502834937146867
17,-6.1485014,313.15,662.4834,17511.096,1.7005098,1.1216617,0.18211186,-6.104456049594255,0.9869567222852066,-0.004862450556855057,-0.0002052128560228576,-1.005511690870609,-0.6555861900647363,1.0489589963523869,0.004862450556855057,0.0002052128560228576,1.005511690870609,0.6555861900647363,1.0489589963523869,0.3904527590663651
18,-6.005846,318.15,662.4834,17511.096,1.6829913,1.094626,0.18211617,-6.017636145628479,0.9851707171881502,-0.004871265639690156,-0.00019945765466066338,-1.0062051869807436,-0.6637979771875442,1.007500153492484,0.004871265639690156,0.00019945765466066338,1.0062051869807436,0.6637979771875442,1.007500153492484,0.3326260620850076
19,-5.867179,323.15,662.4834,17511.096,1.6660137,1.068427,0.1821205,-5.932908647190082,0.983204838000194,-0.0048810055426787855,-0.00019390697029019946,-1.0069590901136931,-0.6719431199512697,0.9683141529505678,0.0048810055426787855,0.00019390697029019946,1.0069590901136931,0.6719431199512697,0.9683141529505678,0.2769707178424783
20,-5.7323074,328.15,662.4833,17511.094,1.649553,1.043028,0.18212488,-5.85015101991957,0.9810478884025806,-0.004891737927664854,-0.00018855239965541283,-1.0077760511296554,-0.6800339022524917,0.9312989926415525,0.004891737927664854,0.00018855239965541283,1.0077760511296554,0.6800339022524917,0.9312989926415525,0.2226323383435788
21,-5.6010485,333.15,662.4834,17511.096,1.6335856,1.0183935,0.18212916,-5.769241831195172,0.9786884868009224,-0.004903529906185284,-0.00018338611920966718,-1.0086586754043798,-0.6880831369652773,0.8963587713956047,0.004903529906185284,0.00018338611920966718,1.0086586754043798,0.6880831369652773,0.8963587713956047,0.1814525898241488
22,-8.467753,277.85,690.0285,24308.361,1.367777,1.0033057,0.20679125,-4.953283218043097,0.9989591341529038,-0.006147009406155821,-0.00025885118782602306,-1.0003260289975568,-0.6445411435683928,0.81935202123727,0.006147009406155821,0.00025885118782602306,1.0003260289975568,0.6445411435683928,0.81935202123727,1.9267571386665845
23,-8.012407,288.45,690.0285,24308.361,1.3336774,0.9511638,0.20680396,-4.795629229598372,0.9984110821216132,-0.006150383648541279,-0.00024305998579002007,-1.000476271103421,-0.6606322387143401,0.7450876528439869,0.006150383648541279,0.00024305998579002007,1.000476271103421,0.6606322387143401,0.7450876528439869,1.98100495720767
24,-7.6115675,298.45,690.0285,24308.361,1.3037255,0.9053755,0.20681584,-4.65599380122378,0.997696699353161,-0.00615478752007933,-0.0002292301142978558,-1.0006610253705792,-0.6750972705421049,0.6823875633420418,0.00615478752007933,0.0002292301142978558,1.0006610253705792,0.6750972705421049,0.6823875633420418,2.056057731560726
25,-7.2394853,308.35,690.0285,24308.361,1.275984,0.8629767,0.20682755,-4.525506569194141,0.9967521296687384,-0.006160620089213104,-0.00021646591572912794,-1.0008910077565178,-0.6888150283045595,0.6265676974304526,0.006160620089213104,0.00021646591572912794,1.0008910077565178,0.6888150283045595,0.6265676974304526,2.0762156238095457
