target,disp_R2,polar_R2,source,actual_train_count,actual_test_count
псевдо-$\delta_d$,0.6449973717490974,0.6965419519686689,pseudo,0,1
псевдо-$\delta_p$,0.7031015458265277,0.6851228307569706,pseudo,0,1
псевдо-$\delta_h$,0.6739747590450393,0.6715261325006128,pseudo,0,1
MolLogP,0.5875222987260221,0.6527022752827303,descriptor,1521,819
TPSA,0.640146240638165,0.6486469289521417,descriptor,1521,819
NumHDonors,0.6680090943933796,0.7457529683083781,descriptor,1521,819
MolWt,0.33828483044369106,0.40904409882370507,descriptor,1521,819
