solute_smiles,has_hansen,delta_d,delta_p,delta_h,pseudo_delta_d,pseudo_delta_p,pseudo_delta_h,MolWt,TPSA,NumHDonors,MolLogP
N#CC1=C(N)Oc2[nH]nc(C(F)(F)F)c2C1c1ccc(O)cc1,False,,,,16.149528086956522,30.0,45.0,322.2460021972656,107.94999694824219,3.0,2.3522799015045166
COC(=O)[C@@H]1C[C@@H]2CCCN2[C@@]12C(=O)c1cccc3cccc2c13,False,,,,16.400975416666668,20.10093,22.1135,321.3760070800781,46.61000061035156,0.0,2.888700008392334
O=C(c1ccccc1)C1CC1,False,,,,16.32579,7.34467,8.1745,146.18899536132812,17.06999969482422,0.0,2.2792999744415283
COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,False,,,,16.713374740740743,19.634584,35.123999999999995,368.47698974609375,58.63999938964844,1.0,4.206160068511963
O=C1Nc2ccccc2C[C@H]1c1ccccc1F,False,,,,16.450913,9.427589999999999,22.385,241.26499938964844,29.100000381469727,1.0,3.104099988937378
Cn1sc(Cl)cc1=O,False,,,,16.170715,13.34998,12.299999999999999,149.6020050048828,22.0,0.0,1.1002000570297241
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,False,,,,16.09529888,26.947460000000003,45.0,341.4070129394531,70.0,2.0,1.5254000425338745
CCC(C)[C@@H]1NC(=O)OC1=O,False,,,,15.890834,19.405250000000002,33.989999999999995,157.16900634765625,55.400001525878906,1.0,0.6675000190734863
CN(C)c1ccc(CCC2CCc3ccccc3N2C(=O)c2ccccc2)cc1,False,,,,16.986515517241383,10.7043,11.6425,384.52301025390625,23.549999237060547,0.0,5.3470001220703125
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)Cc3ccccc3)CCC12,False,,,,16.990624,16.73932,19.7795,406.5660095214844,43.369998931884766,0.0,5.672800064086914
CCN1C(=O)NC(c2ccccc2)C1=O,False,,,,16.06803826666667,15.763860000000001,30.6935,204.22900390625,49.40999984741211,1.0,1.299399971961975
O=C(OCCOCCOC(=O)c1ccccc1)c1ccccc1,False,,,,16.349441739130434,25.3577,28.6405,314.3370056152344,61.83000183105469,0.0,2.7170000076293945
Cc1onc2c(-c3ccc(Cl)cc3)nnc(-c3ccccc3)c12,False,,,,16.845678782608697,20.834438000000002,23.9335,321.7669982910156,51.810001373291016,0.0,4.9136199951171875
CC(=O)C(CC(=O)c1ccccc1)C(=O)c1ccccc1,False,,,,16.51108380952381,18.38305,22.5235,280.322998046875,51.209999084472656,0.0,3.3475000858306885
CC(Oc1ccc(Cl)cc1Cl)C(=O)Nc1ccc2nc(SCc3ccccc3)sc2c1,False,,,,17.38857141935484,22.98946,34.927,489.4490051269531,51.220001220703125,1.0,7.301400184631348
O=C1SS(=O)(=O)c2ccccc21,False,,,,16.0875305,21.09157,23.7235,200.24000549316406,51.209999084472656,0.0,1.2623000144958496
C=C1CCOC2(C(O)C(C)(O)CO)NC(=O)C1(O)NC2=O,False,,,,15.04560723809524,30.0,45.0,302.2829895019531,148.35000610351562,6.0,-3.302000045776367
O=c1[nH]cnc2ccccc12,False,,,,16.031894,15.14269,29.412499999999998,146.1490020751953,45.75,1.0,0.9230999946594238
CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(OC5OC(C)C(O)C(O)C5O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,False,,,,15.140195307692307,30.0,45.0,740.6640014648438,308.1199951171875,11.0,-2.8919999599456787
CC1(C)OC(=O)C(=Cc2ccc(-c3ccccc3)o2)C(=O)O1,False,,,,16.41706,26.016589999999997,30.008999999999997,298.29400634765625,65.73999786376953,0.0,3.166100025177002
CC(CC(C(N)=O)(c1ccccc1)c1ccccn1)N(C)C,False,,,,16.322834,19.94028,35.327,297.4020080566406,59.220001220703125,1.0,2.19320011138916
c1ccc(N=Nc2ccc(-c3ccc(NNc4ccccc4)cc3)cc2)cc1,False,,,,17.354469571428574,20.0596,42.873,364.4519958496094,48.779998779296875,2.0,7.208000183105469
Sc1nncs1,False,,,,16.161263333333334,16.55772,24.823,118.18599700927734,25.780000686645508,1.0,0.8267999887466431
O=C1C(=Cc2ccc([N+](=O)[O-])cc2)SC(=S)N1CNc1ccc([N+](=O)[O-])cc1,False,,,,16.616645357142858,30.0,45.0,416.44000244140625,118.62000274658203,1.0,3.7737998962402344
c1ccc(N2CCN(c3ccccc3)C2c2ccco2)cc1,False,,,,16.751250000000002,12.6011,11.466999999999999,290.3659973144531,19.6200008392334,0.0,4.304999828338623
OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl,False,,,,15.429635652173914,30.0,45.0,397.635009765625,128.83999633789062,5.0,-1.6561000347137451
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,False,,,,17.072804,1.4359599999999997,1.0,252.3159942626953,0.0,0.0,5.640399932861328
N#Cc1c(N)sc2c1CCC2,False,,,,16.247564,18.296732000000002,32.0335,164.23300170898438,49.810001373291016,1.0,1.6906800270080566
O=c1oc2c(o1)=C(c1ccccc1)S(=O)(=O)C=2c1ccccc1,False,,,,15.991792869565217,28.35078,34.1215,326.3290100097656,77.48999786376953,0.0,0.9742000102996826
CCN(C(=O)n1nnn(-c2ccccc2Cl)c1=O)C1CCCCC1,False,,,,16.372216666666667,29.873089999999998,33.757000000000005,349.8219909667969,73.0199966430664,0.0,2.7051000595092773
Cc1oc(-c2ccccc2)cc1-c1ccccc1,False,,,,16.89272288888889,6.372997999999999,6.799,234.29800415039062,13.140000343322754,0.0,4.922019958496094
O=C1C2=C(O)CCCC2Cc2ccccc21,False,,,,16.452764125,13.410239999999998,26.455,214.26400756835938,37.29999923706055,1.0,3.037600040435791
C=CC1CN2CCC1CC2C12Nc3ccccc3C1(O)CCO2,False,,,,16.314164782608696,19.820130000000002,41.4555,312.4129943847656,44.72999954223633,2.0,2.312700033187866
COC1=CC(C)C2CC3OC(O)CC4C(C)=C(OC)C(=O)C(C2(C)C1=O)C34C,False,,,,16.313977714285713,30.0,45.0,390.47601318359375,82.05999755859375,1.0,2.61080002784729
O=c1c2ccccc2cc2ccc3ccccc3n12,False,,,,16.6322,10.50581,10.918000000000001,245.281005859375,21.479999542236328,0.0,3.6059000492095947
CCC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,False,,,,16.727198,13.287069999999998,26.455,302.4580078125,37.29999923706055,1.0,4.2692999839782715
O=C1c2ccccc2N(C(=O)CN2CCOCC2)CN1c1ccccc1,False,,,,16.234217307692308,21.359230000000004,24.381500000000003,351.406005859375,53.09000015258789,0.0,1.9696999788284302
Cc1ccc(NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)nc1,False,,,,16.2214719,30.0,45.0,293.3039855957031,102.19999694824219,1.0,2.099020004272461
COc1cc2c(cc1OC)C(=O)NCC2,False,,,,16.013160266666667,17.96183,31.246000000000002,207.22900390625,47.560001373291016,1.0,0.9897000193595886
C1COCCO1,True,19.0,1.7999999523162842,7.400000095367432,15.800033333333333,10.31948,9.861,88.10600280761719,18.459999084472656,0.0,0.03319999948143959
CCOc1nc(F)cc2nc(S(=O)(=O)Nc3c(Cl)cccc3C(=O)OC)nn12,False,,,,16.13100785714286,30.0,45.0,429.8169860839844,124.77999877929688,1.0,1.902899980545044
CN(C)c1ccc(C2CNCCN2)cc1,False,,,,16.141575200000002,14.31535,34.155,205.30499267578125,27.299999237060547,2.0,0.9865000247955322
CCOC(=O)c1cc(C)n(-c2ccc(F)cc2)c1C,False,,,,16.505916947368423,14.780406,15.5305,261.2959899902344,31.229999542236328,0.0,3.409940004348755
O=C(NC1Cc2ccccc21)c1ccccc1,False,,,,16.407168470588235,9.466619999999999,22.385,223.27499389648438,29.100000381469727,1.0,2.7137999534606934
CCCCCCCCCCOc1ccc(C=Nc2ccc(C=CC(=O)OCC)cc2)cc1,False,,,,17.427231250000002,19.8669,22.5615,435.6080017089844,47.88999938964844,0.0,7.5329999923706055
CCN1CCN(C(=O)NC(C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,False,,,,15.540365000000001,30.0,45.0,645.6799926757812,220.25999450683594,4.0,-1.1119999885559082
CC1(C)C2CC3C(c4ccccc4)(C2=C(c2ccccc2)c2ccccc2)C31C,False,,,,17.338681379310348,1.2877699999999992,1.0,376.5429992675781,0.0,0.0,7.122300148010254
CC(=O)C(C(=O)OC1CC(C)CCC1C(C)C)C(C)C(C(C)=O)C(=NNC(N)=O)OC1CC(C)CCC1C(C)C,False,,,,16.95226505,30.0,45.0,563.780029296875,137.14999389648438,2.0,5.496099948883057
COC(=O)c1cc(OC)c2c(c1-c1c(C(=O)OC)cc(OC)c3c1OCO3)OCO2,False,,,,16.212931333333334,30.0,45.0,418.35400390625,107.9800033569336,0.0,2.401400089263916
CCSc1nnc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)s1,False,,,,16.84283761111111,23.7186,36.208,607.3109741210938,54.880001068115234,1.0,6.5980000495910645
O=c1cc(-c2ccccc2)cc(-c2ccccc2)o1,False,,,,16.673023157894736,12.04042,13.9735,248.281005859375,30.209999084472656,0.0,3.97379994392395
