Модель,Протокол,MAE,RMSE,R^2,r
DirectGNN,"proxy 1/4/1, full split",1.6520440578460693,2.253957986831665,0.47757946502579207,
RF hybrid,"full fit, full split",1.7222795654161078,2.314758256894173,0.4490148815129744,
TGNN MPNN,"proxy 1/4/1, full split",1.7413105945625926,2.338430266989608,0.43768789532280705,
1-NN pair Tanimoto,"full split, nearest pair",2.530413360342238,3.4043734389708384,-0.19179887814507368,0.4299123957688125
1-NN pair Tanimoto,controlled 5k/1k subset,2.716161755956556,3.587792469982707,-0.42228683045129456,0.3244614621187226
KNN k=5 Euclidean,controlled 5k/1k subset,2.844012065933409,3.7801794719513295,-0.578910087455099,0.21047629689036398
