pair_id,solute_key,solvent_key,solute_name,solvent_name,T_K,m,n_records,g_full,g_res,g_2002_full_UD,g_2002_res_UD,g_2010_dsp_off_full_UD,g_2010_dsp_off_res_UD,method,source_doi,journal,in_broad_idac_set
21,CCCCCOC(C)=O,c1ccncc1,pentyl ethanoate,pyridine,298.15,0.1133286853070032,1,0.090770006,0.25630307,0.0907335397664288,0.256266745515029,0.08161076312375,0.2471439688723499,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
22,CCCCCl,c1ccncc1,1-chlorobutane,pyridine,298.15,0.4317824164255378,1,0.36832905,0.38348845,0.3679817533996529,0.383141471550342,0.373877918646044,0.3890376367967326,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
23,CCCCN,CO,1-butanamine,methanol,298.15,-0.7765287894989963,1,-2.1751165,-1.8480936,-2.14648586910036,-1.8194627687763352,-0.6602357934937111,-0.3332126931696855,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
24,CCCCOC(C)=O,c1ccncc1,butyl ethanoate,pyridine,298.15,0.1397619423751586,1,0.041572288,0.13856472,0.0923642004091385,0.1866531581874256,0.0819608373719082,0.1762497951501964,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
25,CCCN(CCC)CCC,CCCCCCCCCCCCCCCC,tripropylamine,hexadecane,298.15,0.009950330853168,1,-0.027608253,0.06533589,-0.0276075125560907,0.0653360284603912,-0.0185789257753542,0.0743646152411276,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
26,CCCN(CCC)CCC,CO,tripropylamine,methanol,298.15,2.1736147116970854,1,1.9625279,3.1498625,1.9860769342504685,3.173410426656375,2.667751594417215,3.8550850868231183,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
27,CCCN(CCC)CCC,c1ccccc1,tripropylamine,benzene,298.15,1.0260415958332745,1,0.5418229,0.78724897,0.5410404642705553,0.7864668290977824,0.5782285310946967,0.8236548959219238,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
28,CCCNCCC,CO,dipropylamine,methanol,298.15,-0.0943106794712412,1,-0.30799937,0.39925873,-0.2793446520859179,0.4279132417379547,0.8418979622356264,1.5491558560595,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
29,CCCNCCC,c1ccccc1,dipropylamine,benzene,298.15,0.3920420877760237,1,0.27609518,0.35471985,0.2753976465521355,0.3540226052024083,0.3377896837905465,0.4164146424408198,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
30,CCNCC,CO,diethylamine,methanol,298.15,-1.1086626245216111,1,-0.6362963,-0.299353,-0.6088460536507325,-0.2719028149721617,0.464785668582554,0.8017289072611249,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
31,CCc1ccccc1,c1ccncc1,ethylbenzene,pyridine,298.15,0.3646431135879092,1,0.34576875,0.39490116,0.3455462148703792,0.3946792721592573,0.3543676630717573,0.4035007203606343,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
32,CO,C1CCNCC1,methanol,piperidine,298.15,-0.843970070294529,1,-2.3838868,-2.2131088,-2.3832409831186387,-2.2124628584517363,-0.975379158645505,-0.8046010339786037,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
33,CO,CC(C)(C)N,methanol,2-methyl-2-propanamine,298.15,-1.2378743560016174,1,-3.1503158,-2.9932392,-3.1465898070794207,-2.9895131704397055,-1.5213964022676243,-1.3643197656279096,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
34,CO,CCC(C)N,methanol,2-butanamine,298.15,-0.9675840262617056,1,-3.202367,-3.022578,-3.200184963093876,-3.0203960415379427,-1.5384224053022677,-1.358633483746335,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
